link,price,address,metro,amenities,building_info,tags,square_meters,living_meters,kitchen_meters,ceiling_height,floor,build_year,building_floors,apartments_count,entrances_count,bathroom_type,renovation_type
https://realty.yandex.ru/offer/5676176164688311553/,3800,проспект Вернадского,Юго-Западная,"['19,1 м²', 'Балкон', 'Вид из окон во двор', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Можно с детьми']","['Серия П-43', 'Панельное здание', '2,7 м потолки', 'Лифт', 'Мусоропровод', 'Открытая парковка', 'Охраны или консьержа нет', 'Закрытой территории нет']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']",36.0,19.1,8.2,2.7,5,1976,16,,1,раздельный,косметический ремонт
https://realty.yandex.ru/offer/7017686378168104960/,4000,Волгоградский проспект,Пролетарская,"['Балкон', 'Вид из окон на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Можно с животными', 'Можно с детьми']","['Индивидуальный проект', 'Кирпичное здание', '3 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Открытая парковка', 'Закрытой территории нет']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']",42.0,,,3.0,6,1960,8,100,4,раздельный,косметический ремонт
https://realty.yandex.ru/offer/7255189220032493313/,4000,Большая Грузинская улица,Баррикадная,"['26 м²', 'Лоджия', 'Вид из окон во двор', 'Телефон', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Встроенная техника', 'Кондиционера нет', 'Можно с детьми']","['Индивидуальный проект', 'Кирпичное здание', '2,8 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Закрытая территория', 'Закрытая парковка']","['без комиссии', 'залог', 'без торга', 'цена с КУ', 'посуточная аренда']",42.0,26.0,8.0,2.8,4,1972,9,,1,раздельный,косметический ремонт
https://realty.yandex.ru/offer/1265499812247703809/,3500,Красногорский бульвар,Пенягино,"['Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Можно с детьми']","['Застройщик КомСтрин', 'Индивидуальный проект', 'Монолитное здание', '3 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Открытая парковка']","['без комиссии', 'предоплата 15%', 'залог', 'цена с КУ', 'посуточная аренда']",45.0,,,3.0,14,2016,17,622,5,совмещённый,евроремонт
https://realty.yandex.ru/offer/6756484700223674880/,5500,Ленинградский проспект,Динамо,"['12 м²', 'Балкон', 'Вид из окон во двор и на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Посудомойка', 'Можно с животными', 'Можно с детьми']","['Индивидуальный проект', 'Кирпичное здание', '2,3 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Центральное отопление', 'Закрытая парковка']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']",35.0,20.0,5.0,2.3,4,2000,7,106,4,совмещённый,евроремонт
https://realty.yandex.ru/offer/3000833524859046401/,14900,Тверская улица,Пушкинская,"['Несколько санузлов', 'Два балкона', 'Вид из окон во двор и на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Посудомойка', 'Можно с детьми']","['Индивидуальный проект', 'Кирпичное здание', '3,2 м потолки', 'Лифт', 'Мусоропровод', 'Центральное отопление', 'Открытая парковка', 'Охраны или консьержа нет', 'Закрытой территории нет']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']",180.0,,,3.2,6,1940,9,171,11,,евроремонт
https://realty.yandex.ru/offer/7253342355890103040/,2790,Снежная улица,Свиблово,"['18,9 м²', 'Балкон', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Можно с детьми']","['Серия П-44Т', 'Панельное здание', '2,74 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Центральное отопление', 'Открытая парковка', 'Закрытой территории нет']","['залог', 'без торга', 'цена с КУ', 'посуточная аренда']",37.2,18.9,7.9,2.74,7,2004,17,513,8,совмещённый,косметический ремонт
https://realty.yandex.ru/offer/2945171221594409984/,2500,Новгородская улица,Алтуфьево,"['22 м²', 'Вид из окон во двор', 'Интернет', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Встроенная техника', 'Телефона нет', 'Мебели нет', 'Кондиционера нет', 'Посудомойки нет', 'Сигнализации нет', 'Можно с животными', 'Можно с детьми']","['Серия П-43', 'Панельное здание', '2,8 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Центральное отопление', 'Открытая парковка', 'Закрытой территории нет']","['без комиссии', 'предоплата 100%', 'без залога', 'без торга', 'КУ + счётчики']",39.0,22.0,9.0,2.8,2,1979,16,127,1,совмещённый,евроремонт
https://realty.yandex.ru/offer/7477661750220208897/,2800,Немчиновка,Сколково,"['Балкон', 'Вид из окон на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Можно с детьми']","['Застройщик ГК «Гранель»', 'Индивидуальный проект', 'Монолитное здание', '3 м потолки', 'Лифт', 'Мусоропровод', 'Открытая парковка', 'Охраны или консьержа нет']","['без комиссии', 'залог', 'торг', 'цена с КУ', 'посуточная аренда']",19.5,17.2,,3.0,13,2020,15,,,совмещённый,евроремонт
https://realty.yandex.ru/offer/7997574223893920001/,8000,Кудринская площадь,Баррикадная,"['Вид из окон на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Посудомойка', 'Можно с детьми']","['Индивидуальный проект', 'Кирпичное здание', '31 этаж', '4 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Закрытая территория', 'Центральное отопление', 'Открытая парковка']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']",65.0,,,4.0,9,1954,,450,15,совмещённый,дизайнерский ремонт
