link,price,address,metro,technical_info,amenities,building_info,tags
https://realty.yandex.ru/offer/5676176164688311553/,3 800 ₽ в сутки,проспект Вернадского,Юго-Западная,"['общая: 36 м²', 'жилая: 19,1 м²', 'кухня: 8,2 м²', 'из 16: 5 этаж', 'потолки: 2,7 м', 'год постройки: 1976 год']","['19,1 м²', 'Отделка — косметический ремонт', 'Санузел раздельный', 'Балкон', 'Вид из окон во двор', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Можно с детьми']","['Серия П-43', 'Дом 1976 г.', 'Панельное здание', '16 этажей', '1 подъезд', '2,7 м потолки', 'Лифт', 'Мусоропровод', 'Открытая парковка', 'Охраны или консьержа нет', 'Закрытой территории нет']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']"
https://realty.yandex.ru/offer/7017686378168104960/,4 000 ₽ в сутки,Волгоградский проспект,Пролетарская,"['общая: 42 м²', 'из 8: 6 этаж', 'потолки: 3 м', 'год постройки: 1960 год']","['Отделка — косметический ремонт', 'Санузел раздельный', 'Балкон', 'Вид из окон на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Можно с животными', 'Можно с детьми']","['Индивидуальный проект', 'Дом 1960 г.', 'Кирпичное здание', '8 этажей', '100 квартир', '4 подъезда', '3 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Открытая парковка', 'Закрытой территории нет']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']"
https://realty.yandex.ru/offer/7255189220032493313/,4 000 ₽ в сутки,Большая Грузинская улица,Баррикадная,"['общая: 42 м²', 'жилая: 26 м²', 'кухня: 8 м²', 'из 9: 4 этаж', 'потолки: 2,8 м', 'год постройки: 1972 год']","['26 м²', 'Отделка — косметический ремонт', 'Санузел раздельный', 'Лоджия', 'Вид из окон во двор', 'Телефон', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Встроенная техника', 'Кондиционера нет', 'Можно с детьми']","['Индивидуальный проект', 'Дом 1972 г.', 'Кирпичное здание', '9 этажей', '1 подъезд', '2,8 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Закрытая территория', 'Закрытая парковка']","['без комиссии', 'залог', 'без торга', 'цена с КУ', 'посуточная аренда']"
https://realty.yandex.ru/offer/1265499812247703809/,3 500 ₽ в сутки,Красногорский бульвар,Пенягино,"['общая: 45 м²', 'из 30: 14 этаж', 'потолки: 3 м', 'год постройки: 2016 год']","['Отделка — евроремонт', 'Санузел совмещённый', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Можно с детьми']","['Застройщик КомСтрин', 'Индивидуальный проект', 'Дом 2016 г.', 'Монолитное здание', 'от 17 до 30 этажей', '622 квартиры', '5 подъездов', '3 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Открытая парковка']","['без комиссии', 'предоплата 15%', 'залог', 'цена с КУ', 'посуточная аренда']"
https://realty.yandex.ru/offer/6756484700223674880/,5 500 ₽ в сутки,Ленинградский проспект,Динамо,"['общая: 35 м²', 'жилая: 20 м²', 'кухня: 5 м²', 'из 7: 4 этаж', 'потолки: 2,3 м', 'год постройки: 2000 год']","['12 м²', 'Отделка — евроремонт', 'Санузел совмещённый', 'Балкон', 'Вид из окон во двор и на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Посудомойка', 'Можно с животными', 'Можно с детьми']","['Индивидуальный проект', 'Дом 2000 г.', 'Кирпичное здание', '7 этажей', '106 квартир', '4 подъезда', '2,3 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Центральное отопление', 'Закрытая парковка']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']"
https://realty.yandex.ru/offer/3000833524859046401/,14 900 ₽ в сутки,Тверская улица,Пушкинская,"['общая: 180 м²', 'из 9: 6 этаж', 'потолки: 3,2 м', 'год постройки: 1940 год']","['Отделка — евроремонт', 'Несколько санузлов', 'Два балкона', 'Вид из окон во двор и на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Посудомойка', 'Можно с детьми']","['Индивидуальный проект', 'Дом 1940 г.', 'Кирпичное здание', '9 этажей', '171 квартира', '11 подъездов', '3,2 м потолки', 'Лифт', 'Мусоропровод', 'Центральное отопление', 'Открытая парковка', 'Охраны или консьержа нет', 'Закрытой территории нет']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']"
https://realty.yandex.ru/offer/7253342355890103040/,2 790 ₽ в сутки,Снежная улица,Свиблово,"['общая: 37,2 м²', 'жилая: 18,9 м²', 'кухня: 7,9 м²', 'из 17: 7 этаж', 'потолки: 2,74 м', 'год постройки: 2004 год']","['18,9 м²', 'Отделка — косметический ремонт', 'Санузел совмещённый', 'Балкон', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Можно с детьми']","['Серия П-44Т', 'Дом 2004 г.', 'Панельное здание', '17 этажей', '513 квартир', '8 подъездов', '2,74 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Центральное отопление', 'Открытая парковка', 'Закрытой территории нет']","['залог', 'без торга', 'цена с КУ', 'посуточная аренда']"
https://realty.yandex.ru/offer/2945171221594409984/,2 500 ₽ в сутки,Новгородская улица,Алтуфьево,"['общая: 39 м²', 'жилая: 22 м²', 'кухня: 9 м²', 'из 16: 2 этаж', 'потолки: 2,8 м', 'год постройки: 1979 год']","['22 м²', 'Отделка — евроремонт', 'Санузел совмещённый', 'Вид из окон во двор', 'Интернет', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Встроенная техника', 'Телефона нет', 'Мебели нет', 'Кондиционера нет', 'Посудомойки нет', 'Сигнализации нет', 'Можно с животными', 'Можно с детьми']","['Серия П-43', 'Дом 1979 г.', 'Панельное здание', '16 этажей', '127 квартир', '1 подъезд', '2,8 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Центральное отопление', 'Открытая парковка', 'Закрытой территории нет']","['без комиссии', 'предоплата 100%', 'без залога', 'без торга', 'КУ + счётчики']"
https://realty.yandex.ru/offer/7477661750220208897/,2 800 ₽ в сутки,Немчиновка,Сколково,"['общая: 19,5 м²', 'жилая: 17,2 м²', 'из 22: 13 этаж', 'потолки: 3 м', 'год постройки: 2020 год']","['Отделка — евроремонт', 'Санузел совмещённый', 'Балкон', 'Вид из окон на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Кондиционер', 'Можно с детьми']","['Застройщик ГК «Гранель»', 'Индивидуальный проект', 'Дом 2020 г.', 'Монолитное здание', 'от 15 до 24 этажей', '3 м потолки', 'Лифт', 'Мусоропровод', 'Открытая парковка', 'Охраны или консьержа нет']","['без комиссии', 'залог', 'торг', 'цена с КУ', 'посуточная аренда']"
https://realty.yandex.ru/offer/7997574223893920001/,8 000 ₽ в сутки,Кудринская площадь,Баррикадная,"['общая: 65 м²', 'из 31: 9 этаж', 'потолки: 4 м', 'год постройки: 1954 год']","['Отделка — дизайнерский ремонт', 'Санузел совмещённый', 'Вид из окон на улицу', 'Интернет', 'Мебель', 'Мебель на кухне', 'Телевизор', 'Стиральная машина', 'Холодильник', 'Посудомойка', 'Можно с детьми']","['Индивидуальный проект', 'Дом 1954 г.', 'Кирпичное здание', '31 этаж', '450 квартир', '15 подъездов', '4 м потолки', 'Лифт', 'Мусоропровод', 'Охрана/консьерж', 'Закрытая территория', 'Центральное отопление', 'Открытая парковка']","['без комиссии', 'залог', 'цена с КУ', 'посуточная аренда']"
